DateTime,CPU_Idle(%),Memory_Used(KB),Memory_Free(KB)
2024-09-10 23:25:55,82,7174092,36952
2024-09-10 23:25:57,89,7173852,36952
2024-09-10 23:25:59,89,7173852,36960
2024-09-10 23:26:01,90,7173852,36960
2024-09-10 23:26:03,89,7173600,36960
2024-09-10 23:26:05,89,7173348,36968
2024-09-10 23:26:07,90,7173096,36968
2024-09-10 23:26:09,85,7173352,36968
2024-09-10 23:26:11,89,7173356,36976
2024-09-10 23:26:13,87,7173356,36976
2024-09-10 23:26:15,88,7173132,36984
2024-09-10 23:26:18,85,7173132,36984
2024-09-10 23:26:20,89,7173392,36984
2024-09-10 23:26:22,89,7173556,36992
2024-09-10 23:26:24,89,7173904,36992
2024-09-10 23:26:26,91,7174408,37000
2024-09-10 23:26:28,89,7174408,37000
2024-09-10 23:26:30,90,7174808,37008
2024-09-10 23:26:32,88,7175416,37008
2024-09-10 23:26:34,89,7175860,37008
2024-09-10 23:26:36,87,7176172,37016
2024-09-10 23:26:38,88,7176424,37016
2024-09-10 23:26:40,89,7176452,37016
2024-09-10 23:26:42,90,7176704,37024
2024-09-10 23:26:44,88,7176956,37024
2024-09-10 23:26:46,89,7177208,37032
2024-09-10 23:26:48,88,7177208,37032
2024-09-10 23:26:50,89,7177208,37032
2024-09-10 23:26:52,88,7176956,37040
2024-09-10 23:26:54,87,7177012,37040
2024-09-10 23:26:56,89,7177516,37048
2024-09-10 23:26:58,90,7177768,37048
2024-09-10 23:27:00,88,7177796,37048
2024-09-10 23:27:02,90,7177544,37056
2024-09-10 23:27:04,89,7177292,37056
2024-09-10 23:27:06,89,7177544,37064
2024-09-10 23:27:08,89,7177796,37064
2024-09-10 23:27:10,89,7177796,37064
2024-09-10 23:27:12,89,7177796,37072
2024-09-10 23:27:14,90,7177544,37072
2024-09-10 23:27:16,90,7177320,37072
2024-09-10 23:27:18,89,7177572,37080
2024-09-10 23:27:20,88,7177096,37080
2024-09-10 23:27:22,89,7177096,37088
2024-09-10 23:27:25,89,7176844,37088
2024-09-10 23:27:27,89,7176340,37088
2024-09-10 23:27:29,90,7176340,37096
2024-09-10 23:27:31,91,7176340,37096
2024-09-10 23:27:33,89,7176088,37104
2024-09-10 23:27:35,87,7176088,37104
2024-09-10 23:27:37,89,7176368,37104
2024-09-10 23:27:39,87,7176116,37112
2024-09-10 23:27:41,90,7176116,37112
2024-09-10 23:27:43,87,7176116,37120
2024-09-10 23:27:45,85,7175864,37120
2024-09-10 23:27:47,88,7175612,37120
2024-09-10 23:27:49,88,7176012,37128
2024-09-10 23:27:51,88,7176516,37128
2024-09-10 23:27:53,88,7176872,37128
2024-09-10 23:27:55,86,7176620,37136
2024-09-10 23:27:57,89,7176368,37136
2024-09-10 23:27:59,89,7176368,37136
2024-09-10 23:28:01,89,7176368,37144
2024-09-10 23:28:03,88,7176116,37144
2024-09-10 23:28:05,89,7176368,37152
2024-09-10 23:28:07,90,7176620,37152
2024-09-10 23:28:09,88,7176872,37152
2024-09-10 23:28:11,89,7177124,37160
2024-09-10 23:28:13,90,7177376,37160
2024-09-10 23:28:15,88,7177376,37168
2024-09-10 23:28:17,88,7177124,37168
2024-09-10 23:28:19,90,7176872,37168
2024-09-10 23:28:21,90,7177124,37176
2024-09-10 23:28:23,90,7177124,37176
2024-09-10 23:28:25,88,7177124,37184
2024-09-10 23:28:27,89,7177376,37184
2024-09-10 23:28:30,88,7177376,37184
2024-09-10 23:28:32,91,7177376,37192
2024-09-10 23:28:34,89,7177124,37192
2024-09-10 23:28:36,90,7177404,37200
2024-09-10 23:28:38,88,7177404,37200
2024-09-10 23:28:40,87,7177404,37200
2024-09-10 23:28:42,90,7177404,37208
2024-09-10 23:28:44,87,7177152,37208
2024-09-10 23:28:46,87,7176900,37216
2024-09-10 23:28:48,89,7176900,37216
2024-09-10 23:28:50,90,7176900,37216
2024-09-10 23:28:52,89,7177404,37224
2024-09-10 23:28:54,88,7177908,37224
2024-09-10 23:28:56,89,7178160,37224
2024-09-10 23:28:58,89,7178412,37232
2024-09-10 23:29:00,89,7178664,37232
2024-09-10 23:29:02,89,7178916,37240
2024-09-10 23:29:04,89,7178916,37240
2024-09-10 23:29:06,89,7178916,37240
2024-09-10 23:29:08,89,7178664,37248
2024-09-10 23:29:10,88,7178412,37248
2024-09-10 23:29:12,89,7178160,37256
2024-09-10 23:29:14,89,7178160,37256
2024-09-10 23:29:16,89,7178160,37256
2024-09-10 23:29:18,89,7177908,37264
2024-09-10 23:29:20,89,7178160,37264
2024-09-10 23:29:22,88,7178160,37272
2024-09-10 23:29:24,88,7178160,37272
2024-09-10 23:29:26,89,7177908,37272
2024-09-10 23:29:28,88,7177908,37280
2024-09-10 23:29:30,88,7177908,37280
2024-09-10 23:29:32,89,7177908,37280
2024-09-10 23:29:35,90,7177908,37288
2024-09-10 23:29:37,82,7177684,37288
2024-09-10 23:29:39,90,7177432,37296
2024-09-10 23:29:41,88,7177180,37296
2024-09-10 23:29:43,89,7176928,37296
2024-09-10 23:29:45,88,7176928,37304
2024-09-10 23:29:47,89,7176928,37304
2024-09-10 23:29:49,88,7176928,37304
2024-09-10 23:29:51,88,7177432,37312
2024-09-10 23:29:53,89,7177432,37312
2024-09-10 23:29:55,90,7177936,37320
2024-09-10 23:29:57,88,7177936,37320
2024-09-10 23:29:59,89,7177936,37320
2024-09-10 23:30:01,90,7177936,37336
2024-09-10 23:30:03,85,7177580,37336
2024-09-10 23:30:05,89,7177688,37336
2024-09-10 23:30:07,85,7177688,37344
2024-09-10 23:30:09,89,7177940,37344
2024-09-10 23:30:11,88,7178444,37352
2024-09-10 23:30:13,88,7178444,37352
2024-09-10 23:30:15,90,7178696,37352
2024-09-10 23:30:17,89,7178444,37360
2024-09-10 23:30:19,89,7178444,37360
2024-09-10 23:30:21,90,7178696,37360
2024-09-10 23:30:23,89,7178948,37368
2024-09-10 23:30:25,89,7179200,37368
2024-09-10 23:30:27,89,7179228,37376
2024-09-10 23:30:29,88,7179480,37376
2024-09-10 23:30:31,88,7183764,37392
2024-09-10 23:30:33,88,7183512,37392
2024-09-10 23:30:35,89,7183512,37400
2024-09-10 23:30:37,84,7184016,37400
2024-09-10 23:30:40,89,7183764,37400
2024-09-10 23:30:42,88,7183764,37408
2024-09-10 23:30:44,89,7183764,37408
2024-09-10 23:30:46,84,7183512,37416
2024-09-10 23:30:48,88,7183260,37416
2024-09-10 23:30:50,89,7182904,37416
2024-09-10 23:30:52,87,7183008,37424
2024-09-10 23:30:54,88,7183260,37424
2024-09-10 23:30:56,87,7183008,37432
2024-09-10 23:30:58,87,7183156,37432
2024-09-10 23:31:00,90,7183512,37432
2024-09-10 23:31:02,87,7183512,37440
2024-09-10 23:31:04,90,7183260,37440
2024-09-10 23:31:06,90,7183008,37448
2024-09-10 23:31:08,89,7182756,37448
2024-09-10 23:31:10,89,7182504,37448
2024-09-10 23:31:12,89,7182504,37456
2024-09-10 23:31:14,89,7183008,37456
2024-09-10 23:31:16,89,7183008,37464
2024-09-10 23:31:18,89,7182756,37464
2024-09-10 23:31:20,89,7182504,37464
2024-09-10 23:31:22,89,7182252,37472
2024-09-10 23:31:24,89,7182000,37472
2024-09-10 23:31:26,89,7181748,37472
2024-09-10 23:31:28,89,7182000,37480
2024-09-10 23:31:30,88,7182504,37480
2024-09-10 23:31:32,90,7181748,37488
2024-09-10 23:31:34,90,7181244,37488
2024-09-10 23:31:36,90,7180768,37488
2024-09-10 23:31:38,90,7180516,37496
2024-09-10 23:31:40,90,7180516,37496
2024-09-10 23:31:42,90,7180544,37504
2024-09-10 23:31:44,90,7180544,37504
2024-09-10 23:31:46,92,7180320,37504
2024-09-10 23:31:49,89,7180068,37512
2024-09-10 23:31:51,89,7180320,37512
2024-09-10 23:31:53,89,7180068,37520
2024-09-10 23:31:55,88,7180068,37520
2024-09-10 23:31:57,91,7179816,37520
2024-09-10 23:31:59,89,7179816,37528
2024-09-10 23:32:01,89,7179816,37528
2024-09-10 23:32:03,90,7180068,37528
2024-09-10 23:32:05,90,7180068,37536
2024-09-10 23:32:07,90,7180320,37536
2024-09-10 23:32:09,87,7180068,37544
2024-09-10 23:32:11,89,7180068,37544
2024-09-10 23:32:13,90,7180572,37544
2024-09-10 23:32:15,85,7181580,37552
2024-09-10 23:32:17,89,7181104,37552
2024-09-10 23:32:19,89,7181104,37560
2024-09-10 23:32:21,90,7181104,37560
2024-09-10 23:32:23,88,7181104,37560
2024-09-10 23:32:25,90,7181356,37568
2024-09-10 23:32:27,89,7181132,37568
2024-09-10 23:32:29,90,7180880,37576
2024-09-10 23:32:31,90,7181132,37576
2024-09-10 23:32:33,89,7181636,37576
2024-09-10 23:32:35,90,7181636,37584
2024-09-10 23:32:37,89,7181384,37584
2024-09-10 23:32:39,88,7181384,37584
2024-09-10 23:32:41,89,7181636,37592
2024-09-10 23:32:43,90,7181384,37592
2024-09-10 23:32:45,86,7181132,37600
2024-09-10 23:32:47,90,7181132,37600
2024-09-10 23:32:49,85,7180880,37600
2024-09-10 23:32:51,90,7181132,37608
2024-09-10 23:32:53,88,7181888,37608
2024-09-10 23:32:56,90,7181888,37616
2024-09-10 23:32:58,90,7181888,37616
2024-09-10 23:33:00,89,7181636,37616
2024-09-10 23:33:02,90,7181636,37624
2024-09-10 23:33:04,89,7181636,37624
2024-09-10 23:33:06,88,7181132,37624
2024-09-10 23:33:08,89,7180880,37632
2024-09-10 23:33:10,90,7180628,37632
2024-09-10 23:33:12,90,7180628,37640
2024-09-10 23:33:14,87,7180628,37640
2024-09-10 23:33:16,89,7180628,37640
2024-09-10 23:33:18,90,7180628,37648
2024-09-10 23:33:20,90,7180376,37648
2024-09-10 23:33:22,88,7180376,37656
2024-09-10 23:33:24,86,7180124,37656
2024-09-10 23:33:26,89,7180124,37656
2024-09-10 23:33:28,89,7180376,37664
2024-09-10 23:33:30,89,7180628,37664
2024-09-10 23:33:32,90,7180628,37664
2024-09-10 23:33:34,89,7180628,37672
2024-09-10 23:33:36,88,7181132,37672
2024-09-10 23:33:38,89,7180908,37672
2024-09-10 23:33:40,89,7180908,37680
2024-09-10 23:33:42,89,7181160,37680
2024-09-10 23:33:44,89,7180656,37688
2024-09-10 23:33:46,88,7180656,37688
2024-09-10 23:33:48,89,7180152,37688
2024-09-10 23:33:50,90,7180432,37696
2024-09-10 23:33:52,90,7180432,37696
2024-09-10 23:33:54,88,7180712,37704
2024-09-10 23:33:56,88,7180876,37704
2024-09-10 23:33:58,90,7180992,37704
2024-09-10 23:34:01,85,7181020,37712
2024-09-10 23:34:03,83,7181020,37712
2024-09-10 23:34:05,89,7181020,37720
2024-09-10 23:34:07,89,7181020,37720
2024-09-10 23:34:09,84,7181168,37720
2024-09-10 23:34:11,87,7181300,37728
2024-09-10 23:34:13,91,7181048,37728
2024-09-10 23:34:15,90,7181048,37728
2024-09-10 23:34:17,90,7180824,37736
2024-09-10 23:34:19,88,7180824,37736
2024-09-10 23:34:21,86,7180824,37744
2024-09-10 23:34:23,88,7180824,37744
2024-09-10 23:34:25,89,7180824,37744
2024-09-10 23:34:27,89,7180824,37752
2024-09-10 23:34:29,89,7180320,37752
2024-09-10 23:34:31,89,7180068,37760
2024-09-10 23:34:33,89,7180068,37760
2024-09-10 23:34:35,89,7180068,37760
2024-09-10 23:34:37,89,7180068,37768
2024-09-10 23:34:39,89,7179816,37768
2024-09-10 23:34:41,89,7179816,37776
2024-09-10 23:34:43,88,7179816,37776
2024-09-10 23:34:45,89,7179816,37776
2024-09-10 23:34:47,89,7179816,37784
2024-09-10 23:34:49,89,7179816,37784
2024-09-10 23:34:51,88,7179816,37792
2024-09-10 23:34:53,86,7179816,37792
2024-09-10 23:34:55,89,7179816,37792
2024-09-10 23:34:57,85,7179816,37800
2024-09-10 23:34:59,90,7179816,37800
2024-09-10 23:35:01,90,7179816,37808
2024-09-10 23:35:03,90,7179816,37808
2024-09-10 23:35:06,86,7179816,37808
2024-09-10 23:35:08,86,7179816,37816
2024-09-10 23:35:10,88,7179816,37816
2024-09-10 23:35:12,83,7179816,37824
2024-09-10 23:35:14,88,7179816,37824
2024-09-10 23:35:16,89,7179816,37824
2024-09-10 23:35:18,90,7179816,37832
2024-09-10 23:35:20,88,7179816,37832
2024-09-10 23:35:22,91,7179816,37840
2024-09-10 23:35:24,89,7179816,37840
2024-09-10 23:35:26,88,7179816,37840
